case,scheme,N,ops,U,B,theta,pad_pool,fanout_class,refresh_period,split_load_percent,merge_load_percent,dist,workload,variant,crypto,seed,query_ratio,selectivity,build_ms,avg_query_ms,avg_update_ms,logical_cells,active,server_bytes,lbc_boundary_count,lbc_prototype_count,lbc_repair_entries,lbc_avg_repair,lbc_desc_bytes,lbc_proto_bytes,lbc_full_bytes,lbc_log_bytes,lbc_raw_bitmap_bytes,lbc_compression_ratio,searches,updates,refreshes,splits,merges,touched_cells,fetched_objects,response_bytes,patch_bytes,refresh_bytes,guide_locates,guide_corrections,token_padding_refs,max_token_refs,max_fanout_class,log_refs,raw_log_length_exposures,max_visible_log_refs_per_cell,ordered_token_exposures,cert_capacity_class,cert_fanout_class,cert_log_class,cert_maintenance_class,cert_split_load_class,cert_merge_load_class,cert_desc_object_class,cert_proto_object_class,cert_patch_object_class,cert_full_object_class,refresh_class_events,split_class_events,merge_class_events,public_refresh_ticks,scheduled_refreshes,forced_log_refreshes,forced_capacity_splits,public_split_events,public_merge_events,cert_candidate_cells,cert_certified_cells,cert_capacity_overflow_splits,eval_cells,eval_top_k,eval_region_precision_at_k,eval_hotspot_precision_at_k,eval_log_profile_precision_at_k,eval_region_auc,eval_hotspot_auc,eval_log_growth_auc,eval_maintenance_auc,eval_log_length_correlation,eval_maintenance_correlation,eval_ambiguity_size,eval_normalized_ambiguity,eval_log_ambiguity_size,eval_normalized_log_ambiguity
FixedCell-Bitmap,fixedcell,200000,2000,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,bitmap,mock,1,0.8,-1,33.6708,1.03421,0.0227641,196,200015,1611109,0,0,0,0,0,0,0,0,0,0,1583,417,0,0,0,7761,16126,65890957,8757,0,0,0,0,22,22,8365,7761,6,1583,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,196,196,0,196,40,0.425,1,0.95,0.746875,0.970032,0.963381,0.5,0.984426,0,1,0.00510204,40.5306,0.206789
FixedCell-Bitmap,fixedcell,200000,2000,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,bitmap,mock,2,0.8,-1,34.0681,1.07002,0.0237932,196,200019,1610605,0,0,0,0,0,0,0,0,0,0,1607,393,0,0,0,7875,16150,67199235,8253,0,0,0,0,24,24,8275,7875,8,1607,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,196,196,0,196,40,0.525,1,1,0.789022,0.973958,0.975,0.5,0.991336,0,1,0.00510204,40.9286,0.208819
PGM-Learned-Naive,pgm,200000,2000,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,naive,mock,0,0.8,-1,54.2751,2.38624,0.0278859,196,199994,1611844,0,0,0,0,0,0,0,0,0,0,1548,452,0,0,0,8730,18300,71754306,9492,0,3548,75,0,41,41,9570,8730,7,1548,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,196,196,0,196,40,0.475,1,0.95,0.757612,0.996795,0.991827,0.5,0.980275,0,1.05102,0.00536235,37.0204,0.18888
PGM-Learned-Naive,pgm,200000,2000,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,naive,mock,1,0.8,-1,54.4199,2.37627,0.0294136,196,200015,1611109,0,0,0,0,0,0,0,0,0,0,1583,417,0,0,0,8922,18205,73323447,8757,0,3583,83,0,34,34,9283,8922,6,1583,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,196,196,0,196,40,0.325,1,0.975,0.714583,0.970032,0.969231,0.5,0.992772,0,1.04082,0.00531029,42.7959,0.218347
PGM-Learned-Naive,pgm,200000,2000,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,naive,mock,2,0.8,-1,54.4654,2.38129,0.0302835,196,200019,1610605,0,0,0,0,0,0,0,0,0,0,1607,393,0,0,0,9035,18180,74253233,8253,0,3607,102,0,31,31,9145,9035,6,1607,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,196,196,0,196,40,0.375,1,0.975,0.695833,0.986298,0.98125,0.5,0.994,0,1.07143,0.00546647,41.9694,0.21413
LOCI-Full,loci,200000,2000,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,full,mock,0,0.8,-1,741.885,3.1653,15.8127,321,199994,46494080,79154,2568,632356,7.98893,42076288,657408,82176,2629632,10764944,0.236876,1548,452,66,39,0,12966,2553856,166513536,28928,20387584,3542,199912,875220,4096,4096,1659648,0,128,0,1024,16,128,64,922,256,128,256,64,256,66,39,0,7,7,0,36,3,0,0,0,0,321,65,0.230769,1,0.307692,0.560517,0.998978,0.501953,0.490234,0.0526186,0.0763247,1.04361,0.00325113,319.006,0.993789
LOCI-Full,loci,200000,2000,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,full,mock,1,0.8,-1,736.64,3.1602,19.6071,328,200015,47485440,79160,2624,629750,7.95541,42994176,671744,83968,2686976,10765760,0.231836,1583,417,74,46,0,13473,2596352,169342080,26688,23502080,3598,218344,852188,4096,4096,1724544,0,128,0,1024,16,128,64,922,256,128,256,64,256,74,46,0,6,6,0,45,1,0,0,0,0,328,66,0.19697,1,0.287879,0.560751,0.990458,0.501908,0.48826,0.00626625,0.0558566,1.06707,0.00325327,326.006,0.993921
LOCI-Full,loci,200000,2000,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,full,mock,2,0.8,-1,744.356,3.22518,21.4962,329,200019,48675584,79162,2632,627728,7.92966,43125248,673792,84224,2695168,10766032,0.231138,1607,393,74,47,0,13601,2636800,171964160,25152,23784832,3626,215380,876032,4096,4096,1740928,0,128,0,1024,16,128,64,922,256,128,256,64,256,74,47,0,6,6,0,44,3,0,0,0,0,329,66,0.227273,1,0.30303,0.626023,0.970964,0.5,0.568643,0,0.0935093,1.0304,0.0031319,329,1
PGM-Learned-GlobalPad,pgm,200000,2000,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,globalpad,mock,0,0.8,-1,69.5459,25.2125,0.0367395,196,199994,6914048,0,0,0,0,0,0,0,0,0,0,1548,452,7,0,0,8730,39139632,2647410048,28928,172032,3548,75,38013462,25284,25284,1117440,0,128,0,1152,25284,128,64,0,0,0,0,64,16384,7,0,0,7,7,0,0,0,0,196,196,0,196,40,0.425,1,0.275,0.707372,0.996795,0.5,0.508974,0,-0.00660401,1.69388,0.00864223,196,1
PGM-Learned-GlobalPad,pgm,200000,2000,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,globalpad,mock,1,0.8,-1,68.471,24.6208,0.0377648,196,200015,6914048,0,0,0,0,0,0,0,0,0,0,1583,417,6,0,0,8922,40024572,2707179648,26688,147456,3583,83,38873634,25284,25284,1142016,0,128,0,1152,25284,128,64,0,0,0,0,64,16384,6,0,0,6,6,0,0,0,0,196,196,0,196,40,0.325,1,0.325,0.641106,0.970032,0.5,0.480769,0,-0.0819479,1.76531,0.00900666,196,1
PGM-Learned-GlobalPad,pgm,200000,2000,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,globalpad,mock,2,0.8,-1,68.0278,24.6913,0.0382759,196,200019,6914048,0,0,0,0,0,0,0,0,0,0,1607,393,6,0,0,9035,40631388,2747860032,25152,147456,3607,102,39465873,25284,25284,1156480,0,128,0,1152,25284,128,64,0,0,0,0,64,16384,6,0,0,6,6,0,0,0,0,196,196,0,196,40,0.4,1,0.325,0.658734,0.986298,0.5,0.512179,0,0.0125609,1.58163,0.00806955,196,1
FixedCell-Bitmap,fixedcell,200000,2000,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,bitmap,mock,0,0.8,-1,55.2409,2.45609,0.0274567,196,199994,1611844,0,0,0,0,0,0,0,0,0,0,1548,452,0,0,0,7554,17373,73672439,9492,0,0,0,0,37,37,9819,7554,14,1548,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,196,196,0,196,40,0.775,1,0.9,0.952965,1,0.980849,0.5,0.985337,0,1,0.00510204,38.3163,0.195491
FixedCell-Bitmap,fixedcell,200000,2000,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,bitmap,mock,1,0.8,-1,54.9974,2.4315,0.0287949,196,200015,1611109,0,0,0,0,0,0,0,0,0,0,1583,417,0,0,0,7726,17228,74949998,8757,0,0,0,0,31,31,9502,7726,10,1583,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,196,196,0,196,40,0.775,1,0.975,0.943109,0.988381,0.982853,0.5,0.994132,0,1,0.00510204,36.0918,0.184142
FixedCell-Bitmap,fixedcell,200000,2000,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,bitmap,mock,2,0.8,-1,54.8992,2.43831,0.0304717,196,200019,1610605,0,0,0,0,0,0,0,0,0,0,1607,393,0,0,0,7836,17238,75881370,8253,0,0,0,0,28,28,9402,7836,14,1607,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,196,196,0,196,40,0.75,1,1,0.938301,0.979808,0.980208,0.5,0.995546,0,1,0.00510204,38.9796,0.198875
PGM-Learned-Naive,pgm,200000,2000,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,naive,mock,0,0.8,-1,34.9311,2.75035,0.0251088,196,199994,1611844,0,0,0,0,0,0,0,0,0,0,1548,452,0,0,0,13978,29389,114909031,9492,0,3548,122,0,124,124,15411,13978,9,1548,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,196,196,0,196,40,0.25,1,1,0.629647,1,1,0.5,0.988754,0,1.04082,0.00531029,37.5102,0.191379
PGM-Learned-Naive,pgm,200000,2000,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,naive,mock,1,0.8,-1,35.1417,2.81036,0.0252474,196,200015,1611109,0,0,0,0,0,0,0,0,0,0,1583,417,0,0,0,14507,28433,119223394,8757,0,3583,129,0,95,95,13926,14507,7,1583,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,196,196,0,196,40,0.075,1,0.95,0.446314,0.984135,0.979487,0.5,0.990771,0,1.09184,0.0055706,37.9286,0.193513
PGM-Learned-Naive,pgm,200000,2000,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,naive,mock,2,0.8,-1,35.0664,2.73779,0.0265646,196,200019,1610605,0,0,0,0,0,0,0,0,0,0,1607,393,0,0,0,14378,29218,118195536,8253,0,3607,110,0,99,99,14840,14378,6,1607,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,196,196,0,196,40,0.125,1,0.925,0.448478,0.970833,0.95609,0.5,0.9915,0,1.10204,0.00562266,41.6429,0.212464
