case,scheme,N,ops,U,B,theta,pad_pool,fanout_class,refresh_period,split_load_percent,merge_load_percent,dist,workload,variant,crypto,seed,query_ratio,selectivity,build_ms,avg_query_ms,avg_update_ms,logical_cells,active,server_bytes,lbc_boundary_count,lbc_prototype_count,lbc_repair_entries,lbc_avg_repair,lbc_desc_bytes,lbc_proto_bytes,lbc_full_bytes,lbc_log_bytes,lbc_raw_bitmap_bytes,lbc_compression_ratio,searches,updates,refreshes,splits,merges,touched_cells,fetched_objects,response_bytes,patch_bytes,refresh_bytes,guide_locates,guide_corrections,token_padding_refs,max_token_refs,max_fanout_class,log_refs,raw_log_length_exposures,max_visible_log_refs_per_cell,ordered_token_exposures,cert_capacity_class,cert_fanout_class,cert_log_class,cert_maintenance_class,cert_split_load_class,cert_merge_load_class,cert_desc_object_class,cert_proto_object_class,cert_patch_object_class,cert_full_object_class,refresh_class_events,split_class_events,merge_class_events,public_refresh_ticks,scheduled_refreshes,forced_log_refreshes,forced_capacity_splits,public_split_events,public_merge_events,cert_candidate_cells,cert_certified_cells,cert_capacity_overflow_splits,eval_cells,eval_top_k,eval_region_precision_at_k,eval_hotspot_precision_at_k,eval_log_profile_precision_at_k,eval_region_auc,eval_hotspot_auc,eval_log_growth_auc,eval_maintenance_auc,eval_log_length_correlation,eval_maintenance_correlation,eval_ambiguity_size,eval_normalized_ambiguity,eval_log_ambiguity_size,eval_normalized_log_ambiguity
FixedCell-Bitmap,fixedcell,100000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,bitmap,mock,1,0.8,0.001,27.9446,3.71474,0.253541,98,100010,805544,0,0,0,0,0,0,0,0,0,0,792,208,0,0,0,877,10440,72384835,4368,0,0,0,0,77,77,9563,877,48,792,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,98,98,0,98,20,0.25,1,0.75,0.500641,0.987179,0.877564,0.5,0.997565,0,1.04082,0.0106206,35.4082,0.361308
FixedCell-Bitmap,fixedcell,100000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,bitmap,mock,2,0.8,0.001,27.9347,3.68683,0.210271,98,100012,805250,0,0,0,0,0,0,0,0,0,0,805,194,0,0,0,882,9796,73000338,4074,0,0,0,0,72,72,8914,882,37,805,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,98,98,0,98,20,0.25,1,0.85,0.470192,0.983974,0.966026,0.5,0.997388,0,1.02041,0.0104123,35.3673,0.360891
PGM-Learned-Naive,pgm,100000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,naive,mock,0,0.8,0.01,27.4931,4.73936,0.0211706,98,99986,805838,0,0,0,0,0,0,0,0,0,0,778,222,0,0,0,8315,17469,68383150,4662,0,1778,61,0,75,75,9154,8315,5,778,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,98,98,0,98,20,0.25,1,0.9,0.552885,0.991346,0.971795,0.5,0.96988,0,1.02041,0.0104123,18.5714,0.189504
PGM-Learned-Naive,pgm,100000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,naive,mock,1,0.8,0.01,27.5509,4.82249,0.0235997,98,100010,805544,0,0,0,0,0,0,0,0,0,0,792,208,0,0,0,8617,17924,70869603,4368,0,1792,50,0,68,68,9307,8617,6,792,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,98,98,0,98,20,0.25,1,0.9,0.517308,0.975962,0.964744,0.5,0.966169,0,1,0.0102041,21.5918,0.220325
PGM-Learned-Naive,pgm,100000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,naive,mock,2,0.8,0.01,27.6128,4.9035,0.0234981,98,100012,805250,0,0,0,0,0,0,0,0,0,0,805,194,0,0,0,8929,17737,73410324,4074,0,1804,44,0,66,66,8808,8929,6,805,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,98,98,0,98,20,0.35,1,1,0.562179,0.984615,0.982051,0.5,0.984773,0,1.06122,0.0108288,21.7143,0.221574
LOCI-Full,loci,100000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,full,mock,0,0.8,0.01,492.473,7.27192,9.51318,172,99986,25410688,68091,1376,578552,8.49675,22556800,352256,44032,1409024,9260376,0.380114,778,222,35,25,0,13556,2847232,185113856,14208,12041472,1764,61771,1095578,8192,8192,1735168,0,128,0,1024,16,128,64,922,256,128,256,64,256,35,25,0,3,3,0,24,1,0,0,0,0,172,35,0.285714,1,0.342857,0.578415,0.986966,0.50365,0.48926,0.0105498,0.0165919,1.23256,0.00716604,170.012,0.98844
LOCI-Full,loci,100000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,full,mock,1,0.8,0.01,484.627,6.90956,8.36626,162,100010,23996416,68048,1296,583962,8.58162,21247488,331776,41472,1327104,9254528,0.403285,792,208,29,21,0,13330,2771712,180242368,13312,10056192,1802,50130,1049145,8192,8192,1706240,0,128,0,1024,16,128,64,922,256,128,256,64,256,29,21,0,3,3,0,20,1,0,0,0,0,162,33,0.242424,1,0.333333,0.565539,0.987785,0.503876,0.493775,0.0126984,-0.053476,1.24691,0.007697,160.012,0.987731
LOCI-Full,loci,100000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,full,mock,2,0.8,0.01,481.634,5.79539,9.20049,160,100012,23711872,67805,1280,579794,8.5509,20983936,327680,40960,1310720,9221480,0.406891,805,194,31,20,0,13045,2264832,147752192,12416,10058368,1816,46874,578988,8192,8192,1669760,0,128,0,1024,16,128,64,922,256,128,256,64,256,31,20,0,3,3,0,18,2,0,0,0,0,160,32,0.1875,1,0.25,0.598145,0.975586,0.503906,0.499268,0.0686285,0.132356,1.325,0.00828125,158.012,0.987578
PGM-Learned-GlobalPad,pgm,100000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,globalpad,mock,0,0.8,0.01,34.2283,14.2384,0.0278777,98,99986,3457024,0,0,0,0,0,0,0,0,0,0,778,222,3,0,0,8315,9835476,765171264,14208,73728,1778,61,8762841,12642,12642,1064320,0,128,0,1152,12642,128,64,0,0,0,0,64,16384,3,0,0,3,3,0,0,0,0,98,98,0,98,20,0.15,1,0.2,0.496154,0.991346,0.5,0.480769,0,-0.156335,1.26531,0.0129113,98,1
PGM-Learned-GlobalPad,pgm,100000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,globalpad,mock,1,0.8,0.01,34.2359,14.5889,0.0311517,98,100010,3457024,0,0,0,0,0,0,0,0,0,0,792,208,3,0,0,8617,10012464,781427136,13312,73728,1792,50,8900871,12642,12642,1102976,0,128,0,1152,12642,128,64,0,0,0,0,64,16384,3,0,0,3,3,0,0,0,0,98,98,0,98,20,0.15,1,0.25,0.453846,0.975962,0.5,0.480769,0,-0.0366614,1.4898,0.015202,98,1
