case,scheme,N,ops,U,B,theta,pad_pool,fanout_class,refresh_period,split_load_percent,merge_load_percent,dist,workload,variant,crypto,seed,query_ratio,selectivity,build_ms,avg_query_ms,avg_update_ms,logical_cells,active,server_bytes,lbc_boundary_count,lbc_prototype_count,lbc_repair_entries,lbc_avg_repair,lbc_desc_bytes,lbc_proto_bytes,lbc_full_bytes,lbc_log_bytes,lbc_raw_bitmap_bytes,lbc_compression_ratio,searches,updates,refreshes,splits,merges,touched_cells,fetched_objects,response_bytes,patch_bytes,refresh_bytes,guide_locates,guide_corrections,token_padding_refs,max_token_refs,max_fanout_class,log_refs,raw_log_length_exposures,max_visible_log_refs_per_cell,ordered_token_exposures,cert_capacity_class,cert_fanout_class,cert_log_class,cert_maintenance_class,cert_split_load_class,cert_merge_load_class,cert_desc_object_class,cert_proto_object_class,cert_patch_object_class,cert_full_object_class,refresh_class_events,split_class_events,merge_class_events,public_refresh_ticks,scheduled_refreshes,forced_log_refreshes,forced_capacity_splits,public_split_events,public_merge_events,cert_candidate_cells,cert_certified_cells,cert_capacity_overflow_splits,eval_cells,eval_top_k,eval_region_precision_at_k,eval_hotspot_precision_at_k,eval_log_profile_precision_at_k,eval_region_auc,eval_hotspot_auc,eval_log_growth_auc,eval_maintenance_auc,eval_log_length_correlation,eval_maintenance_correlation,eval_ambiguity_size,eval_normalized_ambiguity,eval_log_ambiguity_size,eval_normalized_log_ambiguity
LOCI-NoPad,loci,100000,1000,1048576,64,64,1024,16,64,90,25,skew,hotspot,nopad,mock,2,0.8,-1,300.573,1.46594,15.0511,2347,100012,7401312,68050,18776,33750,0.495959,3739992,450624,56328,3154368,1088800,0.147109,805,194,51,48,0,159456,172640,4117457,4074,462456,1816,616775,0,275,275,10093,159456,3,0,64,0,64,64,58,16,24,24,21,24,51,48,0,3,3,0,47,1,0,0,0,0,2347,470,0.282979,1,0.925532,0.61936,0.693617,0.641489,0.530568,0.862227,0.302392,170.069,0.0724621,2095.22,0.892721
LOCI-NoCert,loci,100000,1000,1048576,64,64,1024,16,64,90,25,skew,hotspot,nocert,mock,0,0.8,-1,314.687,27.503,0.479376,1563,99986,31798400,68082,12504,56532,0.830352,19499008,1602560,100480,6402048,1454240,0.052682,778,222,4,0,0,101576,10791424,690945472,14208,86272,1764,13,4185925,16384,16384,6500864,0,64,0,0,16,64,64,0,0,0,0,64,0,4,0,0,3,3,0,0,0,0,0,0,0,1563,313,0.217252,1,0.271565,0.529531,0.821086,0.44064,0.50639,0.0584247,0.0302275,81.517,0.0521542,1052.85,0.673609
LOCI-NoCert,loci,100000,1000,1048576,64,64,1024,16,64,90,25,skew,hotspot,nocert,mock,1,0.8,-1,318.323,27.7345,0.511348,1563,100010,31873280,68042,12504,58114,0.85409,19572736,1603584,100608,6402048,1482328,0.0535543,792,208,4,0,0,105596,11119104,711918272,13312,69888,1802,13,4252287,16384,16384,6758144,0,64,0,0,16,64,64,0,0,0,0,64,0,4,0,0,3,3,0,0,0,0,0,0,0,1563,313,0.204473,1,0.297125,0.519514,0.805112,0.479422,0.50639,0.0744854,0.0503065,102.992,0.065894,984.702,0.630008
LOCI-NoCert,loci,100000,1000,1048576,64,64,1024,16,64,90,25,skew,hotspot,nocert,mock,2,0.8,-1,314.788,27.8569,0.418398,1563,100012,31642560,67790,12504,55222,0.814604,19345408,1600512,100288,6402048,1422696,0.0518319,805,194,3,0,0,107473,11335680,725781312,12416,56512,1816,19,4346831,16384,16384,6878272,0,64,0,0,16,64,64,0,0,0,0,64,0,3,0,0,3,3,0,0,0,0,0,0,0,1563,313,0.198083,1,0.380192,0.494143,0.789137,0.486607,0.504792,0.0506597,0.025653,94.5509,0.0604932,997.124,0.637955
PGM-Learned-GlobalPad,pgm,100000,1000,1048576,64,64,1024,16,64,90,25,skew,hotspot,globalpad,mock,0,0.8,-1,89.2108,136.618,0.0177828,1563,99986,17991680,0,0,0,0,0,0,0,0,0,0,778,222,3,0,0,101527,79040910,5260047808,14208,18432,1778,671,72441655,101595,101595,6497728,0,64,0,128,101595,64,64,0,0,0,0,64,2048,3,0,0,3,3,0,0,0,0,1563,1563,0,1563,313,0.108626,1,0.28115,0.325062,0.811502,0.433448,0.504792,0.0636786,-0.0154367,118.249,0.0756551,1056.4,0.675878
PGM-Learned-GlobalPad,pgm,100000,1000,1048576,64,64,1024,16,64,90,25,skew,hotspot,globalpad,mock,1,0.8,-1,89.1502,136.792,0.0194678,1563,100010,17991680,0,0,0,0,0,0,0,0,0,0,792,208,3,0,0,105569,80463240,5359096256,13312,18432,1792,620,73601255,101595,101595,6756416,0,64,0,128,101595,64,64,0,0,0,0,64,2048,3,0,0,3,3,0,0,0,0,1563,1563,0,1563,313,0.153355,1,0.290735,0.362942,0.809904,0.479822,0.504792,0.076897,0.00407919,136.258,0.0871771,983.683,0.629356
PGM-Learned-GlobalPad,pgm,100000,1000,1048576,64,64,1024,16,64,90,25,skew,hotspot,globalpad,mock,2,0.8,-1,88.7477,137.3,0.01788,1563,100012,17991680,0,0,0,0,0,0,0,0,0,0,805,194,3,0,0,107499,81783975,5447452416,12416,18432,1804,668,74796540,101595,101595,6879936,0,64,0,128,101595,64,64,0,0,0,0,64,2048,3,0,0,3,3,0,0,0,0,1563,1563,0,1563,313,0.124601,1,0.380192,0.354059,0.785942,0.48621,0.504792,0.0559098,0.0252765,125.696,0.0804198,992.942,0.63528
LOCI-Full,loci,100000,1000,1048576,128,128,1024,16,64,90,25,skew,hotspot,full,mock,0,0.8,-1,388.666,31.3747,11.1581,1198,99986,39134080,68216,9584,69210,1.01457,19628032,1226752,76672,9814016,1637184,0.0532496,778,222,45,39,0,76940,10854400,694976384,14208,3156672,1764,326541,926070,32768,32768,9848320,0,128,0,128,16,128,64,116,32,128,128,64,64,45,39,0,3,3,0,38,1,0,0,0,0,1198,240,0.2625,1,0.220833,0.576692,0.891667,0.463735,0.560299,0.0617916,0.229764,54.6761,0.0456395,814.16,0.6796
LOCI-Full,loci,100000,1000,1048576,128,128,1024,16,64,90,25,skew,hotspot,full,mock,1,0.8,-1,378.368,33.369,14.4149,1214,100010,39544704,68182,9712,68934,1.01103,19890176,1243136,77696,9945088,1636368,0.0525216,792,208,48,45,0,82170,11745280,751995904,13312,3541632,1802,342158,1142245,32768,32768,10517760,0,128,0,128,16,128,64,116,32,128,128,64,64,48,45,0,3,3,0,44,1,0,0,0,0,1214,243,0.255144,1,0.320988,0.573392,0.876543,0.535615,0.555513,0.0768055,0.25412,66.1236,0.0544675,795.211,0.655034
LOCI-Full,loci,100000,1000,1048576,128,128,1024,16,64,90,25,skew,hotspot,full,mock,2,0.8,-1,376.881,34.179,18.4068,1216,100012,39596032,67923,9728,68678,1.01112,19922944,1245184,77824,9961472,1630152,0.052236,805,194,57,54,0,83417,12307456,787981312,12416,4234560,1816,336710,1543492,32768,32768,10677376,0,128,0,128,16,128,64,116,32,128,128,64,64,57,54,0,3,3,0,52,2,0,0,0,0,1216,244,0.22541,1,0.336066,0.538629,0.860656,0.510204,0.553791,0.067665,0.247352,62.4309,0.0513412,791.48,0.650888
